,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
89,1.8338557243347169,0.046265675203986174,0.10696768760681152,0.001396756251612065,True,40,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7601365546218487,0.725319829424307,0.7526652452025586,0.7166844349680171,0.7144989339019191,0.7338609996237301,0.018904390987340362,1
48,2.0511091232299803,0.02927684344454405,0.12554140090942384,0.0015374110521438726,True,60,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.764548319327731,0.7263859275053306,0.75,0.7096481876332622,0.7185501066098081,0.7338265082152264,0.020389867032520277,2
4,1.8215680122375488,0.043181593843646095,0.11000666618347169,0.0009460179624061723,True,80,sqrt,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7586659663865546,0.7300106609808102,0.7497867803837953,0.7152985074626865,0.7132196162046909,0.7333963062837076,0.01818403201584807,3
76,1.0620010852813722,0.02551964766973883,0.07581048011779785,0.012777990182084049,True,20,auto,8,3,750,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 750)])",0.7624474789915967,0.7224413646055438,0.7522388059701492,0.7100746268656716,0.7183368869936033,0.7331078326853129,0.020441584735323638,4
14,0.7113393306732178,0.008021054426387559,0.045660543441772464,0.0008390707080461472,True,40,sqrt,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.7596113445378152,0.7297974413646056,0.7486140724946695,0.7173240938166312,0.7100213219616205,0.7330736548350684,0.018633012926952425,5
85,1.4907792568206788,0.04974020157143933,0.08642058372497559,0.001725948137464759,True,80,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.7566701680672269,0.7252132196162047,0.7489339019189766,0.7179637526652451,0.7156716417910447,0.7328905368117395,0.01673977811454896,6
65,1.8072964668273925,0.024579532159079792,0.10531868934631347,0.0012581247132677782,True,40,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7571953781512605,0.7347014925373134,0.7480810234541577,0.7148720682302773,0.7074626865671642,0.7324625297880345,0.018947720631425573,7
139,2.2167563915252684,0.05251379445494937,0.1268472671508789,0.0017832663959298273,True,80,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7583508403361344,0.7267057569296376,0.7524520255863539,0.7131663113006396,0.7113006396588486,0.7323951147623229,0.019611587987073496,8
98,1.683044195175171,0.027780075804872705,0.10444998741149902,0.0019004131824905033,True,40,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.765703781512605,0.7187100213219616,0.7492537313432835,0.7138059701492536,0.7143923240938165,0.732373165684184,0.02121610886409719,9
43,1.8340877532958983,0.030715392161057137,0.10661206245422364,0.0014025123360714958,True,80,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.759296218487395,0.7300106609808102,0.7504264392324094,0.7103944562899784,0.7111940298507462,0.7322643609682677,0.01993947419306802,10
2,1.6096010208129883,0.04074650475543642,0.09547548294067383,0.012230017401039017,True,,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7518382352941176,0.7377931769722814,0.7469083155650319,0.7197761194029851,0.7047974413646056,0.7322226577198043,0.017541544532136962,11
118,1.4139176845550536,0.025776250396219575,0.08670592308044434,0.0009632349955540153,True,40,sqrt,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.7564600840336134,0.7245735607675906,0.7521321961620469,0.7121002132196161,0.7153518123667376,0.7321235733099208,0.018610966371866135,12
73,1.8516149997711182,0.06009281672672587,0.10675187110900879,0.0011212426788268764,True,120,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7518382352941178,0.7279850746268657,0.75,0.7152985074626866,0.7153518123667376,0.7320947259500816,0.016060711968992954,13
111,1.8166234970092774,0.0597961602023921,0.10746321678161622,0.0019036311495540606,True,40,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7616071428571428,0.7332089552238806,0.7466950959488272,0.7125266524520256,0.7063965884861406,0.7320868869936035,0.020633460809887365,14
141,1.1169071674346924,0.016658556077893676,0.06531848907470703,0.0008168086848637763,True,,auto,6,3,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 750)])",0.755094537815126,0.7289445628997868,0.7497867803837953,0.7187100213219617,0.7078891257995735,0.7320850056440487,0.017983239904771964,15
92,1.8009900093078612,0.02193367004945196,0.1175004482269287,0.013168899519472406,True,40,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7563550420168067,0.7292643923240938,0.7461620469083156,0.7152985074626865,0.7128997867803839,0.7319959550984573,0.016999841821810108,16
59,1.4038907527923583,0.019485072874738416,0.08637022972106934,0.0005303630804197836,True,40,sqrt,6,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 2), ('n_estimators', 1000)])",0.7575105042016806,0.7269189765458421,0.746908315565032,0.713912579957356,0.714498933901919,0.7319498620343659,0.017505941884072927,17
32,2.1365278720855714,0.04911463896676093,0.13126554489135742,0.00903571708007637,True,120,sqrt,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7586659663865546,0.7275586353944563,0.7502132196162047,0.713592750533049,0.7095948827292111,0.7319250909318952,0.019510555644011194,18
10,1.8119662284851075,0.022397611201160607,0.10668601989746093,0.0021894273010290163,True,100,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7582457983193277,0.7306503198294243,0.7476545842217484,0.7123134328358209,0.7106609808102344,0.7319050232033112,0.018860536243006733,19
1,0.6900077342987061,0.007968557043799007,0.044461822509765624,0.00044103649595384484,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.7582457983193277,0.7241471215351812,0.749680170575693,0.7113539445628998,0.7160980810234542,0.7319050232033112,0.018666459709738948,19
82,1.4635014057159423,0.025038594678668428,0.0862795352935791,0.0012603013801522863,True,80,auto,6,6,1000,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1000)])",0.7595063025210085,0.728091684434968,0.7468017057569296,0.7147654584221749,0.7103411513859275,0.7319012605042017,0.018745924898456064,21
16,2.1229857921600344,0.030753754290591035,0.12729477882385254,0.0014543382612604403,True,,sqrt,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7560399159663865,0.7283049040511728,0.7530916844349679,0.7127398720682302,0.7089552238805971,0.7318263200802708,0.019689052068676084,22
132,0.8216010570526123,0.12175404581627804,0.0450472354888916,0.0007846148371391134,True,80,auto,6,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 500)])",0.758876050420168,0.7271321961620469,0.7446695095948828,0.714872068230277,0.7134328358208957,0.7317965320456541,0.017575168335392424,23
57,2.1823760509490966,0.034687012388632275,0.12847471237182617,0.0009962041921606555,True,40,auto,6,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7601365546218487,0.7271321961620469,0.7460554371002132,0.7117803837953092,0.7138592750533049,0.7317927693465446,0.018711603836171275,24
25,1.7526151657104492,0.029150780126224556,0.10482330322265625,0.0015506996540421791,True,20,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.7611869747899159,0.7243603411513858,0.7484008528784648,0.7101812366737739,0.7147121535181237,0.7317683118023328,0.019768113373883442,25
45,1.835819959640503,0.039459464163590106,0.11147160530090332,0.010283913144913656,True,80,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7589810924369748,0.727771855010661,0.7471215351812367,0.7128464818763327,0.712046908315565,0.7317535745641541,0.018650452445904832,26
70,2.112664985656738,0.0300778842142779,0.12642126083374022,0.0016933012618223508,True,60,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.7605567226890756,0.7205223880597015,0.7513859275053306,0.7084754797441365,0.717590618336887,0.7317062272670263,0.020413906989713546,27
11,1.7928345680236817,0.04601499146094327,0.10728731155395507,0.0017999923933253892,True,80,sqrt,6,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1250)])",0.7556197478991596,0.7257462686567163,0.7481876332622601,0.7129530916844349,0.7159914712153518,0.7316996425435847,0.017190972947390658,28
93,1.8154423236846924,0.024493475381444398,0.10641579627990723,0.0019168875490242704,True,40,auto,6,6,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 1250)])",0.7573004201680672,0.7262793176972281,0.7470149253731343,0.7161513859275053,0.7116204690831557,0.7316733036498181,0.017687598178012538,29
79,1.4189412117004394,0.0247393840371381,0.08729591369628906,0.0011315405604754437,True,60,sqrt,6,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 6), ('min_samples_split', 3), ('n_estimators', 1000)])",0.7620273109243698,0.7281982942430704,0.745095948827292,0.7164712153518124,0.706503198294243,0.7316591935281574,0.01989093033678583,30
63,1.491596555709839,0.012696881561219618,0.08916153907775878,0.0007529690043420688,True,120,auto,6,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7554096638655462,0.7256396588486141,0.7513859275053305,0.7156183368869936,0.7102345415778251,0.7316576257368619,0.018470454532019318,31
148,2.024129772186279,0.03714735477341671,0.12487335205078125,0.0010988169857631108,True,100,sqrt,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.7631827731092437,0.7220149253731344,0.7448827292110874,0.7119936034115137,0.7162046908315566,0.7316557443873072,0.01942774769529914,32
137,1.1965596199035644,0.053140906073617517,0.06752748489379883,0.00032834659782879187,True,80,sqrt,4,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 750)])",0.7485819327731092,0.7312899786780384,0.7461620469083156,0.7252132196162048,0.7069296375266525,0.7316353631004641,0.015165400486523706,33
