,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
89,2.6621509552001954,0.42315475112948736,0.19215126037597657,0.025464829392874574,True,100,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6148613291470434,0.532967032967033,0.5505291005291004,0.49206349206349204,0.5160052910052909,0.541285249142392,0.04154500863159915,1
96,2.1675668716430665,0.39310069938822895,0.16497087478637695,0.03266420756649907,True,20,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6135531135531136,0.5282574568288855,0.5452380952380953,0.4973544973544973,0.5202380952380953,0.5409282516425373,0.03944679706985821,2
84,1.435074806213379,0.3942652133946031,0.0959446907043457,0.022003962822920654,True,20,auto,8,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1000)])",0.6140763997906856,0.5253793825222397,0.5502645502645503,0.48968253968253966,0.522883597883598,0.5404572940287227,0.04154565897558974,3
63,0.9465704917907715,0.10139361186356916,0.0652613639831543,0.011472706539077062,True,40,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6080586080586081,0.5311355311355311,0.5505291005291005,0.4883597883597883,0.5231481481481481,0.5402462352462353,0.03942539310438503,4
1,0.8679942131042481,0.15742319173786679,0.06644659042358399,0.01102618367512189,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6059654631083202,0.5361067503924646,0.5441798941798941,0.49391534391534386,0.5210317460317461,0.5402398395255538,0.03706042039969857,5
145,0.6826012134552002,0.1479884328772558,0.042736053466796875,0.001634445087318629,True,20,sqrt,8,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 500)])",0.6132914704343275,0.5196232339089483,0.5502645502645502,0.4955026455026455,0.5218253968253967,0.5401014593871737,0.0405030678212654,6
28,1.511279582977295,0.1625488709987326,0.08766841888427734,0.018360767236316113,True,,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6234955520669807,0.5238095238095238,0.5447089947089947,0.49021164021164015,0.5170634920634921,0.5398578405721263,0.04530049996553149,7
110,1.8099549770355225,0.1949211957925302,0.11626935005187988,0.0025437084219153087,True,120,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6114599686028257,0.531658817373103,0.5481481481481482,0.4915343915343915,0.516005291005291,0.5397613233327518,0.04041502490287799,8
60,2.604709768295288,0.4580838946674203,0.18236451148986815,0.03122097031739894,True,,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6036106750392465,0.5232862375719518,0.5492063492063491,0.502910052910053,0.5189153439153439,0.5395857317285889,0.03529814019321387,9
45,1.0670758724212646,0.2853874024865141,0.07896733283996582,0.020735002893602486,True,120,sqrt,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6140763997906854,0.5272108843537415,0.5492063492063493,0.48968253968253966,0.5175925925925926,0.5395537531251817,0.04187737906991407,10
67,2.580345964431763,0.4685346711475897,0.1782142162322998,0.033615087387880487,True,40,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6119832548403977,0.5313971742543172,0.548941798941799,0.4865079365079365,0.518915343915344,0.5395491016919589,0.04157042311300183,11
26,1.751252794265747,0.31200302959312703,0.12626476287841798,0.02308962646965763,True,60,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6046572475143903,0.523024594453166,0.5558201058201058,0.491005291005291,0.5215608465608466,0.53921361707076,0.03861707315747226,12
32,1.848770809173584,0.25435570437770855,0.11796636581420898,0.02263381587272622,True,,sqrt,8,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1000)])",0.6038723181580323,0.5253793825222396,0.5539682539682539,0.49603174603174605,0.5167989417989418,0.5392101284958427,0.03730127229715874,13
113,1.7880836963653564,0.48372276718687457,0.12585978507995604,0.0338735229238061,True,,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6114599686028257,0.5266875981161696,0.5518518518518518,0.4931216931216931,0.5123015873015873,0.5390845397988255,0.040950704350084924,14
49,0.7146942138671875,0.19198786003838558,0.05469598770141602,0.014788806226423928,True,40,auto,8,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 500)])",0.6151229722658295,0.5248560962846677,0.5465608465608466,0.48544973544973546,0.5231481481481481,0.5390275597418455,0.042827167925159434,15
125,1.902280569076538,0.287737584100087,0.13079171180725097,0.01491399177487815,True,120,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6104133961276819,0.5342752485609629,0.548941798941799,0.48703703703703705,0.5133597883597883,0.5388054538054539,0.04142080762270356,16
41,1.3015616416931153,0.23228701821513512,0.09094080924987794,0.01626847070719304,True,120,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6130298273155417,0.5261643118785975,0.544973544973545,0.49497354497354495,0.5136243386243386,0.5385531135531135,0.04064998857671782,17
140,1.874481773376465,0.35611915276785183,0.12595877647399903,0.01880000246588792,True,120,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6104133961276818,0.5209314495028781,0.5510582010582011,0.4923280423280424,0.5178571428571428,0.5385176463747892,0.04048672521287376,18
79,2.6381911277770995,0.44260342456943175,0.18091015815734862,0.033109770782075,True,80,auto,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6138147566718996,0.5206698063840921,0.5478835978835979,0.4936507936507937,0.5162698412698412,0.5384577591720449,0.04143405032591739,19
134,2.132862377166748,0.5788864183350577,0.14852418899536132,0.03847713971096484,True,120,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6085818942961799,0.5303506017791731,0.546031746031746,0.48677248677248675,0.5197089947089947,0.5382891447177162,0.04015775641787794,20
108,0.9803448677062988,0.17850688131141723,0.06572322845458985,0.010237818597930921,True,120,auto,8,6,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 750)])",0.6104133961276818,0.5149136577708007,0.544973544973545,0.4981481481481481,0.5226190476190476,0.5382135589278446,0.03911476759704725,21
16,1.6944262504577636,0.021717436883882925,0.12523303031921387,0.013907581101921496,True,20,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6114599686028257,0.521978021978022,0.551058201058201,0.48597883597883595,0.5205026455026455,0.5381955346241061,0.042037495485145425,22
133,2.005087947845459,0.34401957174098136,0.11896381378173829,0.0028673534079223057,True,120,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6117216117216117,0.5204081632653061,0.5431216931216931,0.49391534391534386,0.521031746031746,0.5380397116111401,0.0400048775894597,23
15,2.133618783950806,0.494589101328998,0.13058314323425294,0.030656016579249167,True,60,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.60858189429618,0.5253793825222396,0.5515873015873016,0.48756613756613754,0.517063492063492,0.5380356416070702,0.040761756697507104,24
23,0.7283155918121338,0.19311878009282912,0.05427055358886719,0.014148055774668895,True,60,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6145996860282575,0.52276295133438,0.5468253968253968,0.49047619047619045,0.5149470899470899,0.537922262922263,0.04234970153162463,25
149,2.3272584438323975,0.25749163797213254,0.15339598655700684,0.027768555547854044,True,60,sqrt,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6101517530088959,0.5211930926216639,0.5534391534391535,0.4865079365079365,0.518121693121693,0.5378827257398685,0.04188848523772807,26
115,0.9785368919372559,0.09359433884083572,0.060520601272583005,0.01541159324299473,True,,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6002093144950287,0.5269492412349556,0.5513227513227514,0.4981481481481482,0.5125661375661374,0.5378391185534042,0.0357897634028496,27
29,1.6001372814178467,0.2564595435018092,0.10085182189941407,0.022191245363393338,True,60,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6111983254840397,0.5245944531658818,0.5507936507936508,0.4915343915343915,0.5109788359788361,0.53781993139136,0.041449764756480406,28
116,0.7564233779907227,0.1663521790932694,0.05475087165832519,0.014777076552780228,True,80,sqrt,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6132914704343275,0.5368916797488227,0.5436507936507937,0.4846560846560846,0.5104497354497355,0.5377879527879529,0.043142394286209765,29
111,2.4522375583648683,0.32619544433646125,0.13625903129577638,0.03151878973628212,True,120,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6117216117216117,0.5243328100470958,0.5505291005291004,0.4920634920634921,0.5099206349206349,0.537713529856387,0.041657771555987856,30
22,2.5718421459198,0.34926669809837013,0.13836021423339845,0.030813778020680135,True,60,sqrt,8,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 60), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1500)])",0.6064887493458921,0.5206698063840921,0.55,0.49232804232804234,0.518915343915344,0.5376803883946741,0.03894787659243233,31
128,2.045539140701294,0.38437509719236557,0.1411949634552002,0.03125176968382687,True,120,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6064887493458923,0.521716378859236,0.553968253968254,0.48730158730158724,0.5186507936507936,0.5376251526251525,0.040385315457293756,32
69,2.5856685638427734,0.46096948449673125,0.18313255310058593,0.03501857732648959,True,40,sqrt,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6049188906331763,0.5345368916797488,0.5402116402116403,0.4896825396825396,0.5186507936507937,0.5376001511715798,0.037955742010094135,33
81,0.8448772430419922,0.14973666087404006,0.053774261474609376,0.01447523951354132,True,100,auto,8,4,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 500)])",0.6130298273155416,0.5149136577708007,0.5542328042328042,0.4904761904761905,0.5149470899470899,0.5375199139484854,0.04292960479264359,34
76,1.306989812850952,0.23631707159601073,0.09139647483825683,0.016727264531748522,True,100,auto,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6041339612768184,0.5264259549973835,0.5515873015873016,0.4902116402116402,0.5146825396825397,0.5374082795511367,0.03877616468342541,35
137,1.4899214267730714,0.3314255178531814,0.10936198234558106,0.027090538245991044,True,40,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.5999476713762428,0.5340136054421769,0.5531746031746031,0.48730158730158735,0.5125661375661376,0.5374007209721496,0.038207561146174705,36
43,0.9897786617279053,0.14996585725974282,0.0602205753326416,0.0010554525534899701,True,120,sqrt,8,2,750,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 750)])",0.6002093144950287,0.5366300366300366,0.5449735449735449,0.4854497354497354,0.5197089947089947,0.5373943252514681,0.037456008619253106,37
13,1.4993876934051513,0.15187306781549895,0.10934581756591796,0.020999531525222787,True,80,auto,8,2,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1250)])",0.6111983254840397,0.5164835164835165,0.5526455026455026,0.4933862433862434,0.513095238095238,0.5373617652189081,0.041578942725536853,38
123,2.144018316268921,0.5686959297612586,0.15276541709899902,0.0416099878952652,True,120,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6125065410779698,0.5162218733647305,0.5529100529100529,0.4894179894179894,0.5157407407407407,0.5373594395022967,0.04266487062474472,39
90,2.606875944137573,0.47036702069583436,0.18763370513916017,0.03568301871922381,True,100,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6114599686028257,0.521716378859236,0.5513227513227513,0.4888888888888889,0.5128306878306879,0.5372437351008779,0.042146304307846286,40
118,0.7217206954956055,0.1930394066885901,0.054762840270996094,0.014159879862074193,True,120,auto,8,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 500)])",0.6051805337519622,0.5167451596023025,0.5439153439153439,0.48730158730158724,0.5329365079365079,0.5372158265015408,0.038968903014593895,41
86,2.604259967803955,0.4400287677687048,0.17635893821716309,0.03185362648679579,True,100,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6023024594453166,0.5219780219780219,0.5642857142857143,0.4888888888888889,0.5085978835978836,0.5372105936391651,0.04087962504094774,42
92,1.9979934692382812,0.34160611297470467,0.11675496101379394,0.0017100377247912305,True,100,sqrt,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6064887493458923,0.521716378859236,0.5478835978835979,0.48994708994708996,0.5189153439153439,0.536990231990232,0.039298240970302885,43
120,2.3638527393341064,0.43120848915124943,0.1475144386291504,0.03839595548980055,True,120,auto,8,6,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 6), ('n_estimators', 1500)])",0.6096284667713239,0.5193615907901622,0.5505291005291005,0.4878306878306878,0.5175925925925926,0.5369884877027735,0.04138432622370195,44
130,1.7137333393096923,0.30709271507377417,0.11176376342773438,0.025138345863641963,True,120,auto,8,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1250)])",0.6156462585034014,0.5138670852956567,0.5423280423280423,0.49100529100529106,0.522089947089947,0.5369873248444678,0.04262997978967938,45
75,2.457640600204468,0.4451003044990482,0.15102648735046387,0.044379820531861194,True,120,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6049188906331764,0.5253793825222397,0.5462962962962963,0.4933862433862434,0.51494708994709,0.5369855805570092,0.0380076969794235,46
37,2.4418802738189695,0.44806028092804456,0.1503467559814453,0.043281028372267466,True,120,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6109366823652538,0.52145473574045,0.5441798941798942,0.4899470899470899,0.5183862433862434,0.5369809291237863,0.04079285619258835,47
144,2.5970248699188234,0.58298436681227,0.1198298454284668,0.0033551519357093804,True,120,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6070120355834642,0.5300889586603872,0.5521164021164021,0.48095238095238096,0.5146825396825396,0.5369704633990349,0.041993698350484256,48
6,1.3653980255126954,0.30627830517427074,0.07832794189453125,0.001042254222499759,True,120,auto,8,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 4), ('n_estimators', 1000)])",0.6067503924646782,0.5222396650968079,0.5597883597883597,0.4843915343915344,0.5115079365079365,0.5369355776498634,0.04247297795266841,49
62,1.6267309188842773,0.30020920217594327,0.09660525321960449,0.0016680605898734754,True,100,auto,8,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1250)])",0.6093668236525379,0.5243328100470958,0.5383597883597884,0.49841269841269836,0.5138888888888888,0.5368722018722019,0.03852865305202363,50
88,2.7002392768859864,0.3722714508822046,0.1691436767578125,0.04093816466064829,True,100,auto,8,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 2), ('n_estimators', 1500)])",0.6075353218210362,0.5261643118785976,0.5470899470899471,0.48650793650793644,0.517063492063492,0.5368722018722019,0.040351659089363494,50
103,1.6890317440032958,0.046209006165396,0.11709580421447754,0.0023537627988277454,True,120,auto,8,3,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 8), ('min_samples_split', 3), ('n_estimators', 1500)])",0.6036106750392465,0.5217163788592359,0.5492063492063491,0.49312169312169307,0.5165343915343916,0.5368378975521833,0.037851239408141876,52
