,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
146,0.06096773147583008,0.0017302920478041923,0.007136201858520508,9.210928987388604e-05,0.6,0.1,12,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5858725761772853,0.49857549857549854,0.49707602339181284,0.5610416617341825,0.09489106266227192,1
130,0.2507380485534668,0.006958089416466138,0.007006454467773438,0.00024376190695903438,0.6,0.1,20,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5858725761772853,0.49857549857549854,0.49707602339181284,0.5610416617341825,0.09489106266227192,1
115,0.06073055267333984,0.0016003800590987374,0.007411670684814453,2.8560674985014145e-05,0.6,0.1,12,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5858725761772853,0.49857549857549854,0.49707602339181284,0.5610416617341825,0.09489106266227192,1
138,0.05930075645446777,0.001456807907451725,0.007066774368286133,7.138976873850263e-05,0.6,0.1,6,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5858725761772853,0.49857549857549854,0.49707602339181284,0.5610416617341825,0.09489106266227192,1
140,0.2429128646850586,0.006199557604401374,0.007168006896972656,0.00026353523630506,0.6,0.1,20,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5858725761772853,0.49857549857549854,0.49707602339181284,0.5610416617341825,0.09489106266227192,1
127,0.06247367858886719,0.0012775833527449375,0.007256555557250977,0.0002771833277972444,0.6,0.05,8,6,20,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5463988919667591,0.5064102564102564,0.49707602339181284,0.5609465634396382,0.08949688545289805,6
112,0.24619975090026855,0.003971279752977713,0.007153129577636719,0.00027761722256808904,0.6,0.05,20,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5602493074792243,0.48361823361823364,0.5073099415204678,0.5584349425069647,0.09272541391005713,7
95,0.06175813674926758,0.0024702667446458064,0.0071389198303222655,0.0003925089752700995,0.6,0.05,12,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5602493074792243,0.48361823361823364,0.5073099415204678,0.5584349425069647,0.09272541391005713,7
101,0.06570792198181152,0.0018074913929963345,0.008077716827392578,0.00018598511186939022,0.6,0.05,12,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5602493074792243,0.48361823361823364,0.5073099415204678,0.5584349425069647,0.09272541391005713,7
120,0.31822857856750486,0.011960905807757048,0.008122491836547851,9.957924076869313e-05,0.6,0.075,20,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5519390581717452,0.48361823361823364,0.5073099415204678,0.5567728926454688,0.09275247109192357,10
63,0.05909175872802734,0.001396180985728408,0.0070613384246826175,0.00027299514914106316,0.6,0.075,6,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5519390581717452,0.48290598290598286,0.5073099415204678,0.5566304425030186,0.09286519178373077,11
143,0.06875786781311036,0.0018670104135364968,0.00816330909729004,0.0002765769627288823,1.0,0.075,12,6,20,0.5,5.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5602493074792243,0.46296296296296297,0.5029239766081871,0.5561967784959474,0.09553874977093102,12
98,0.24914584159851075,0.00559486842296049,0.007268857955932617,0.00041206647743550145,0.6,0.03,20,6,20,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5457063711911357,0.48290598290598286,0.49707602339181284,0.5561072045836588,0.09280960909116737,13
126,0.058830785751342776,0.0020412729110195838,0.006994295120239258,0.00023763008385927444,0.6,0.05,8,6,20,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5602493074792243,0.4715099715099715,0.5073099415204678,0.5560132900853121,0.09478301596339672,14
105,0.06794462203979493,0.003908076611285773,0.008052492141723632,0.0004064592102206342,0.6,0.1,12,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5657894736842105,0.4964387464387464,0.4926900584795321,0.5557204978257608,0.0950134898309109,15
111,0.24957947731018065,0.007172515095885778,0.007041120529174804,0.00017650851218493162,0.6,0.1,20,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5657894736842105,0.4964387464387464,0.4926900584795321,0.5557204978257608,0.0950134898309109,15
87,0.06000804901123047,0.0019965774200422616,0.007132339477539063,0.00025785528279214753,0.6,0.1,6,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5657894736842105,0.4964387464387464,0.4926900584795321,0.5557204978257608,0.0950134898309109,15
119,0.06137027740478516,0.0016753299455712575,0.006989383697509765,0.00013723143111066672,0.6,0.1,8,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5657894736842105,0.4964387464387464,0.4926900584795321,0.5557204978257608,0.0950134898309109,15
36,0.060329341888427736,0.0025535026052127315,0.0070383548736572266,0.0002976910838396774,0.6,0.1,6,6,20,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5657894736842105,0.49572649572649574,0.4926900584795321,0.5555780476833108,0.09510275393426044,19
80,0.06550798416137696,0.0016303363935612116,0.008056211471557616,0.0004985620931803373,0.6,0.03,12,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5408587257617729,0.4878917378917379,0.5073099415204678,0.5554115270181752,0.09233497926694287,20
136,0.0677863597869873,0.0018778721124050118,0.008467817306518554,0.00023264232574748598,0.6,0.03,8,6,20,1.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5408587257617729,0.4878917378917379,0.5073099415204678,0.5554115270181752,0.09233497926694287,20
116,0.060357522964477536,0.002579502640158917,0.007364320755004883,0.00035587652533746047,0.6,0.05,6,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5505540166204986,0.47507122507122496,0.5073099415204678,0.5547864826258178,0.09416394443179993,22
128,0.06010351181030273,0.0031426313660981153,0.00721893310546875,0.00043576589100035386,0.6,0.03,8,6,20,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5491689750692521,0.47578347578347574,0.5073099415204678,0.5546519244580186,0.09405822351189809,23
135,0.06260690689086915,0.0025759283566449305,0.007306194305419922,0.00028688984401381085,0.6,0.075,12,6,20,0.5,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5519390581717452,0.48290598290598286,0.49707602339181284,0.5545836588772877,0.09403508879944342,24
142,0.06391825675964355,0.0018422242850139213,0.007389736175537109,0.00013434944262716506,0.6,0.05,8,6,20,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.49792243767313016,0.5071225071225072,0.5073099415204678,0.5534405063490937,0.09192108063538947,25
51,0.05909543037414551,0.0011588217092890361,0.007025861740112304,2.5156312446662968e-05,0.6,0.075,12,6,20,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5547091412742382,0.4622507122507122,0.5073099415204678,0.5530534049924631,0.09644652724642505,26
133,0.059171628952026364,0.0012771453498308495,0.006825733184814453,0.00011768331404052924,0.6,0.075,12,6,20,1.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5519390581717452,0.4622507122507122,0.5073099415204678,0.5524993883719646,0.09644338103115233,27
148,0.06322288513183594,0.0015244788586529115,0.007892942428588868,0.00042460635663124006,0.6,0.1,6,6,20,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5166204986149584,0.49572649572649574,0.4926900584795321,0.5519769396500698,0.09301431081639504,28
110,0.06465892791748047,0.004013671414482487,0.007908439636230469,0.0005603551737821817,0.6,0.03,6,6,20,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.49722991689750684,0.4764957264957264,0.5277777777777779,0.5512702133200748,0.09445309693637548,29
90,0.32388696670532224,0.006344161095473796,0.007776927947998047,0.0005291724161995594,0.6,0.05,20,6,20,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.05), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5076177285318559,0.49572649572649574,0.5073099415204678,0.5503302791391433,0.09335469004505963,30
65,0.06129379272460937,0.0029889389852667575,0.007110786437988281,0.00016312726719192389,0.6,0.1,6,6,20,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5076177285318559,0.49501424501424496,0.4926900584795321,0.5500339354909991,0.09384852858129415,31
22,0.06246170997619629,0.0017414910593927292,0.007224607467651367,0.00026820962246386056,1.0,0.05,6,6,20,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5193905817174514,0.4764957264957264,0.4956140350877193,0.549269597746052,0.09510898823180627,32
43,0.05910511016845703,0.002097017675309493,0.007050752639770508,0.0003398533870394941,0.6,0.03,6,6,20,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5006925207756233,0.4764957264957264,0.5277777777777779,0.549192650993205,0.09522226496354357,33
104,0.0600337028503418,0.0018963579414287245,0.007148361206054688,0.0001133280125882345,0.6,0.075,6,6,20,0.5,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 6), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5083102493074793,0.4964387464387464,0.49707602339181284,0.5485644498109872,0.09424352642896872,34
108,0.061543607711791994,0.0027877651794811892,0.007115697860717774,0.00018534222998340595,0.6,0.03,12,6,20,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5076177285318559,0.47578347578347574,0.5175438596491229,0.5483884587762704,0.095243361991439,35
121,0.05971932411193848,0.0024290676665762634,0.007074785232543945,0.0003134220353256871,0.6,0.1,12,6,20,0.0,5.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 5.0), ('subsample', 0.4)])",0.7368421052631579,0.48684210526315785,0.5477839335180056,0.4622507122507122,0.5073099415204678,0.5482057595631004,0.09839724083243165,36
53,5.41763014793396,0.5835927133054046,0.008522653579711914,0.0008875301329358607,0.6,0.075,20,6,400,0.0,0.5,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.075), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 400), ('reg_alpha', 0.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7493074792243766,0.5062326869806094,0.5339335180055401,0.4672364672364672,0.4824561403508772,0.5478332583595741,0.10323340766681094,37
124,0.0633349895477295,0.0016812260892322315,0.006940126419067383,0.0001483428060516475,1.0,0.03,8,6,20,0.0,0.0,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.5193905817174514,0.46652421652421655,0.4956140350877193,0.5472752957517499,0.09670519508997938,38
91,0.24809741973876953,0.0038211727315965597,0.007010269165039063,0.00021629700371660006,0.6,0.1,20,6,20,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 20), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5076177285318559,0.49501424501424496,0.4926900584795321,0.5472638523885061,0.09495094729296395,39
139,0.061741971969604494,0.0022346232236208374,0.007466173171997071,0.0003154467773771859,0.6,0.1,12,6,20,0.0,1.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.0), ('reg_lambda', 1.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5076177285318559,0.49501424501424496,0.4926900584795321,0.5472638523885061,0.09495094729296395,39
70,0.06019330024719238,0.00206529883526341,0.007160091400146484,0.0001349387319111724,0.6,0.1,8,6,20,0.5,0.0,0.4,"OrderedDict([('colsample_bytree', 0.6), ('learning_rate', 0.1), ('max_depth', 8), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 0.5), ('reg_lambda', 0.0), ('subsample', 0.4)])",0.7368421052631579,0.5041551246537396,0.5076177285318559,0.49501424501424496,0.4926900584795321,0.5472638523885061,0.09495094729296395,39
96,0.06838445663452149,0.0042726620116985085,0.007837677001953125,0.0005750233364222672,1.0,0.05,12,6,20,1.0,0.5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('learning_rate', 0.05), ('max_depth', 12), ('min_child_weight', 6), ('n_estimators', 20), ('reg_alpha', 1.0), ('reg_lambda', 0.5), ('subsample', 0.4)])",0.7368421052631579,0.5180055401662049,0.4958448753462603,0.475071225071225,0.5073099415204678,0.5466147374734632,0.0961726132315561,42
