,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
64,0.5133833885192871,0.099899715037352,0.040283489227294925,0.0008940587411848125,True,80,auto,6,6,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 6), ('n_estimators', 500)])",0.7575757575757576,0.8636363636363636,0.4545454545454546,0.6818181818181819,0.33333333333333337,0.6181818181818183,0.19577727642682538,1
23,1.0150384426116943,0.20617462123393113,0.07023215293884277,0.0014479136086149541,True,100,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8484848484848485,0.8636363636363636,0.2727272727272727,0.6363636363636364,0.39999999999999997,0.6042424242424242,0.23646928485822225,2
2,1.0135607242584228,0.18436545950050864,0.0703089714050293,0.0013182798048821272,True,,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8484848484848485,0.8181818181818181,0.2727272727272727,0.6363636363636364,0.43333333333333335,0.6018181818181818,0.22160280983324004,3
57,1.019191074371338,0.21037307099010782,0.06983890533447265,0.0009989506029142578,True,100,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8484848484848484,0.8636363636363636,0.22727272727272727,0.6363636363636364,0.43333333333333335,0.6018181818181818,0.24464588077235164,3
49,1.2599533081054688,0.2526370454444729,0.08540282249450684,0.0018736147276794833,True,20,auto,4,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1250)])",0.8787878787878788,0.8636363636363636,0.22727272727272727,0.6363636363636364,0.4,0.6012121212121212,0.2559169401526922,5
5,0.7690305709838867,0.15705709148364191,0.05374231338500977,0.0006816630360794229,True,,auto,4,4,750,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 750)])",0.7575757575757575,0.8181818181818181,0.2727272727272727,0.6363636363636364,0.5,0.5969696969696969,0.1953546843792266,6
86,0.713738489151001,0.13105611246903795,0.0607851505279541,0.011190547497143294,True,100,sqrt,4,3,500,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 500)])",0.8181818181818182,0.8181818181818181,0.22727272727272727,0.6363636363636364,0.4666666666666667,0.5933333333333334,0.2249489279859324,7
135,1.3019054889678956,0.27102792577973916,0.08772268295288085,0.0026040803133938768,True,,auto,4,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8484848484848484,0.8181818181818181,0.22727272727272727,0.6363636363636364,0.43333333333333335,0.5927272727272728,0.23541846765443866,8
90,1.0329586505889892,0.2110443019121614,0.07226591110229492,0.0008278178092558581,True,100,auto,4,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8484848484848484,0.8636363636363636,0.18181818181818182,0.6363636363636364,0.43333333333333335,0.5927272727272728,0.2588283269788071,8
134,1.0125058174133301,0.20641986060318254,0.06896514892578125,0.0008024404130014874,True,100,auto,4,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 1000)])",0.8484848484848484,0.7727272727272727,0.2727272727272727,0.6363636363636364,0.43333333333333335,0.5927272727272728,0.2133178369027381,8
14,1.0159982681274413,0.20832276021853077,0.07006053924560547,0.001273226971693496,True,,auto,6,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'auto'), ('min_samples_leaf', 6), ('min_samples_split', 4), ('n_estimators', 1000)])",0.7575757575757576,0.8636363636363636,0.22727272727272727,0.6363636363636364,0.4666666666666667,0.5903030303030303,0.22445035404852204,11
