,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
142,0.048798751831054685,0.00030310188374604456,0.004680156707763672,3.1046456882210396e-05,0.8,0.03,6,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
121,0.04827604293823242,0.0005206099402047789,0.004772806167602539,9.045647393299638e-05,0.8,0.03,6,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
119,0.04815058708190918,0.00039249408742128306,0.004594850540161133,7.6224086487904e-05,0.8,0.03,6,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
118,0.22988276481628417,0.004549955645522944,0.0047226428985595705,7.912097913545253e-05,0.8,0.03,20,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
117,0.049375057220458984,0.0008112322258308876,0.004794692993164063,0.0001552583983839201,0.8,0.03,12,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
115,0.051317453384399414,0.0005003832670197602,0.005463552474975586,0.00017171113299788013,0.8,0.03,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
111,0.2975125312805176,0.0013251680136840865,0.005547285079956055,0.0001264282268136696,0.8,0.03,20,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
110,0.05717349052429199,0.0003414457390272405,0.006398153305053711,0.0006054368818564517,0.8,0.03,12,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
109,0.056191205978393555,0.0005978269876052238,0.00666341781616211,0.0005318750461069552,0.8,0.03,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
108,0.28538079261779786,0.00783817257427726,0.005916309356689453,0.0012546437186379087,0.8,0.03,20,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
105,0.05116581916809082,0.0006518366743197398,0.00518651008605957,8.969678318461628e-05,0.8,0.03,6,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
104,0.05090818405151367,0.00032931713626065703,0.005320310592651367,0.00016911122419845125,0.8,0.03,12,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
103,0.2891549110412598,0.0037995482845649075,0.005421209335327149,0.00015014249068953919,0.8,0.03,20,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 20), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
101,0.05567665100097656,0.0015452362200141035,0.006599617004394531,0.0002773449619366004,0.8,0.03,8,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 8), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
100,0.05126972198486328,0.0006250282158177602,0.005529928207397461,0.00042584301154292175,0.8,0.03,6,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 6), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
99,0.04915056228637695,0.0013162751885285652,0.004662656784057617,7.933638935261834e-05,0.8,0.03,12,2,20,0.6,"OrderedDict([('colsample_bytree', 0.8), ('learning_rate', 0.03), ('max_depth', 12), ('min_child_weight', 2), ('n_estimators', 20), ('subsample', 0.6)])",0.9636363636363636,0.49090909090909085,0.575,0.8,0.88,0.7419090909090909,0.18025885886232365,1
