,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
144,1.2872469902038575,0.00992665861004323,0.08247413635253906,0.000694753254775553,True,120,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8241758241758241,0.7362637362637363,0.6483516483516484,0.75,0.6666666666666666,0.7250915750915751,0.06303240676631847,1
59,1.2963727474212647,0.014382388584154042,0.08303709030151367,0.0007885958871857555,True,,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', None), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8351648351648353,0.7252747252747253,0.6483516483516484,0.7023809523809524,0.6904761904761905,0.7203296703296704,0.06261915207723989,2
34,0.7940515518188477,0.03220781498956332,0.05177407264709473,0.0010196832159171355,True,80,sqrt,2,4,750,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 750)])",0.8241758241758242,0.7252747252747253,0.6263736263736265,0.7261904761904762,0.6904761904761905,0.7184981684981686,0.06410151752154536,3
50,1.5732032775878906,0.030343499846945475,0.09798498153686523,0.000687645283660116,True,120,sqrt,2,2,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1500)])",0.8241758241758242,0.7252747252747253,0.6593406593406593,0.6785714285714286,0.6904761904761905,0.7155677655677657,0.058394758373951715,4
123,1.283955955505371,0.00790836928308744,0.0824589729309082,0.0010041141840162282,True,80,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8461538461538461,0.7582417582417583,0.6263736263736264,0.6666666666666666,0.6785714285714286,0.7152014652014651,0.07821606498060053,5
41,1.2866044998168946,0.00876840906385618,0.09715309143066406,0.017748716947099053,True,80,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.8131868131868133,0.6813186813186813,0.6813186813186813,0.75,0.6428571428571428,0.7137362637362638,0.06054935083057548,6
57,1.5329850673675538,0.00870592819847549,0.0978940486907959,0.000631604730149855,True,120,sqrt,2,4,1500,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1500)])",0.8351648351648353,0.7032967032967032,0.6593406593406593,0.6904761904761905,0.6785714285714286,0.7133699633699635,0.06259343403163031,7
128,1.3100337028503417,0.02949541497481916,0.0829735279083252,0.0017512728426647903,True,120,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8461538461538463,0.7142857142857143,0.6373626373626374,0.7142857142857143,0.6547619047619048,0.7133699633699634,0.07327380823627623,8
140,1.2849415302276612,0.007705557750369657,0.09038853645324707,0.013572839488011667,True,80,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8241758241758242,0.6813186813186813,0.6593406593406593,0.7261904761904762,0.6666666666666666,0.7115384615384615,0.060914990997442894,9
79,1.040308952331543,0.02097584324269279,0.07527971267700195,0.014052100567716459,True,100,sqrt,2,3,1000,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1000)])",0.8021978021978021,0.7252747252747251,0.6373626373626374,0.7261904761904762,0.6666666666666667,0.7115384615384615,0.05681199413990079,9
98,1.3484740734100342,0.052281519507025,0.08357801437377929,0.002464292314214061,True,20,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8131868131868133,0.6813186813186813,0.6923076923076923,0.6904761904761905,0.6785714285714286,0.7111721611721613,0.051274201387684536,11
97,1.0556824684143067,0.03133194682964502,0.06851487159729004,0.0016761923573623409,True,20,sqrt,2,2,1000,"OrderedDict([('bootstrap', True), ('max_depth', 20), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 1000)])",0.8351648351648352,0.6813186813186813,0.6703296703296704,0.6785714285714286,0.6904761904761905,0.7111721611721613,0.062329212237260886,11
101,1.2933708667755126,0.013009021541475497,0.08959317207336426,0.013936500417641495,True,100,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 100), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8241758241758242,0.7362637362637363,0.6373626373626374,0.6785714285714286,0.6785714285714286,0.7109890109890111,0.06476528176433921,13
121,0.5214243412017823,0.004678483408340882,0.03610997200012207,0.0003929877790264402,True,80,sqrt,2,2,500,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 500)])",0.8021978021978021,0.7252747252747254,0.6703296703296704,0.6428571428571428,0.7142857142857143,0.710989010989011,0.05445939205874226,14
105,1.303951120376587,0.02898294439544502,0.08328847885131836,0.002401105815669445,True,40,auto,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 40), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8131868131868133,0.7252747252747253,0.6593406593406593,0.6666666666666666,0.6904761904761905,0.7109890109890109,0.056037970424214364,15
70,1.2891417503356934,0.007922027106848346,0.08953380584716797,0.013671642402703034,True,80,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 80), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.8461538461538461,0.7142857142857142,0.6593406593406593,0.6904761904761905,0.6428571428571428,0.7106227106227105,0.07212490488935573,16
48,1.0313121795654296,0.013908252428677718,0.06657757759094238,0.0005139858805095954,True,120,auto,2,4,1000,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'auto'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1000)])",0.8351648351648352,0.7142857142857143,0.6263736263736264,0.7023809523809524,0.6666666666666666,0.708974358974359,0.07015488812835309,17
68,1.3062329292297363,0.03932431223875138,0.08460674285888672,0.0029966226632056787,True,120,sqrt,2,4,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 1250)])",0.8351648351648352,0.7032967032967032,0.6373626373626374,0.6785714285714285,0.6904761904761905,0.7089743589743589,0.06685960086964315,18
60,1.370678758621216,0.02315658354823776,0.08914947509765625,0.0013368815203271536,True,120,sqrt,2,3,1250,"OrderedDict([('bootstrap', True), ('max_depth', 120), ('max_features', 'sqrt'), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 1250)])",0.8131868131868133,0.7142857142857143,0.6593406593406594,0.6904761904761905,0.6666666666666667,0.7087912087912089,0.05564872971379618,19
